id, event_id
10100301, 1080300
10100302, 1080300
10100303, 1080300
10100304, 1080300
10100305, 1080300
10100306, 1080300
10100307, 1080300
100101, 80100
100102, 80100
100103, 80100
100104, 80100
100105, 80100
100106, 80100
100107, 80100
1020030101, 1080300
1020030102, 1080300
1020030201, 1080300
1020030202, 1080300
1020030203, 1080300
1020030301, 1080300
1020030302, 1080300
1020030303, 1080300
1020030401, 1080300
1020030402, 1080300
1020030403, 1080300
1020030501, 1080300
1020030502, 1080300
1020030503, 1080300
1020030601, 1080300
1020030602, 1080300
1020030603, 1080300
1020030701, 1080300
1020030702, 1080300
1020030801, 1080300
1020030802, 1080300
1020030803, 1080300
1020030901, 1080300
1020030902, 1080300
1020030903, 1080300
1020031001, 1080300
1020031002, 1080300
1020031003, 1080300
1020031101, 1080300
1020031102, 1080300
1020031103, 1080300
1020031201, 1080300
1020031202, 1080300
1020031203, 1080300
1020031301, 1080300
1020031302, 1080300
1020031401, 1080300
1020031402, 1080300
1020031403, 1080300
1020031501, 1080300
1020031502, 1080300
1020031503, 1080300
1020031601, 1080300
1020031602, 1080300
1020031603, 1080300
1020031701, 1080300
1020031702, 1080300
1020031703, 1080300
1020031801, 1080300
1020031802, 1080300
1020031803, 1080300
1020031901, 1080300
1020031902, 1080300
1020031903, 1080300
1020032001, 1080300
1020032002, 1080300
1020032003, 1080300
1020032101, 1080300
1020032102, 1080300
1020032103, 1080300
1020032201, 1080300
1020032202, 1080300
1020032203, 1080300
1020032301, 1080300
1020032302, 1080300
1020032401, 1080300
1020032402, 1080300
1020032501, 1080300
1020032502, 1080300
1020032601, 1080300
1020032602, 1080300
1020032603, 1080300
1020032701, 1080300
1020032702, 1080300
1020032703, 1080300
1020032901, 1080300
1020032902, 1080300
1020032903, 1080300
1020033001, 1080300
1020033002, 1080300
1020033003, 1080300
1020033101, 1080300
1020033102, 1080300
1020033103, 1080300
1020033201, 1080300
1020033202, 1080300
1020033203, 1080300
1020033301, 1080300
1020033302, 1080300
1020033401, 1080300
1020033501, 1080300
1020033701, 1080300
1020033702, 1080300
1020033801, 1080300
1020033802, 1080300
1020033901, 1080300
1020033902, 1080300
1020033903, 1080300
1020034001, 1080300
1020034002, 1080300
20010201, 80100
20010301, 80100
20010302, 80100
20010601, 80100
20010701, 80100
20010702, 80100
20010801, 80100
20010802, 80100
20010803, 80100
20010901, 80100
20010902, 80100
20010903, 80100
20011001, 80100
20011002, 80100
20011003, 80100
20011101, 80100
20011102, 80100
20011103, 80100
20011201, 80100
20011202, 80100
20011301, 80100
20011302, 80100
20011303, 80100
20011401, 80100
20011402, 80100
20011403, 80100
20011501, 80100
20011502, 80100
20011503, 80100
20011601, 80100
20011602, 80100
